RowID,ProductName,Category,SubCategory,Revenue,Quantity
1,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Storage,10000.1,70
3,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,7242.77,8
4,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,301.97,5
5,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,160.54,5
7,Mitel 5320 IP Phone VoIP phone,Technology,Phones,2116.69,4
8,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,215.11,10
9,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,464.2,7
10,Chromcraft Rectangular Conference Tables,Furniture,Tables,4952.67,9
11,Konftel 250 Conference phone - Charcoal black,Technology,Phones,2221.59,4
12,Xerox 1967,Office Supplies,Paper,89.42,5
13,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,3093.82,8
14,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,1383.09,10
15,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,94.13,8
16,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,2552.54,5
17,Fellowes Super Stor/Drawer,Office Supplies,Storage,477.3,4
18,Newell 341,Office Supplies,Art,96.73,7
19,Cisco SPA 501G IP Phone,Technology,Phones,213.48,1
20,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,143.42,7
21,Newell 318,Office Supplies,Art,61.72,5
22,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,299.98,8
23,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,764.69,7
24,Wilson Jones Active Use Binders,Office Supplies,Binders,115.03,6
25,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,350.2,3
26,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15610.97,5
27,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,197.16,7
