RowID,ProductName,Category,SubCategory,Revenue,Quantity
1,Bush Somerset Collection Bookcase,Furniture,Bookcases,1263.95,4
2,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,10637.53,12
3,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,153.51,7
4,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,7242.77,8
5,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,301.97,5
6,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,160.54,5
7,Newell 322,Office Supplies,Art,30.58,6
8,Mitel 5320 IP Phone VoIP phone,Technology,Phones,2116.69,4
9,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,215.11,10
10,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,464.2,7
11,Chromcraft Rectangular Conference Tables,Furniture,Tables,4952.67,9
12,Konftel 250 Conference phone - Charcoal black,Technology,Phones,2221.59,4
13,Xerox 1967,Office Supplies,Paper,89.42,5
14,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,3093.82,8
15,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,1383.09,10
16,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,94.13,8
17,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,2552.54,5
18,Fellowes Super Stor/Drawer,Office Supplies,Storage,477.3,4
19,Newell 341,Office Supplies,Art,96.73,7
20,Cisco SPA 501G IP Phone,Technology,Phones,213.48,1
21,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,143.42,7
22,Newell 318,Office Supplies,Art,61.72,5
23,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,299.98,8
24,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,764.69,7
25,Wilson Jones Active Use Binders,Office Supplies,Binders,115.03,6
26,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,350.2,3
27,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15610.97,5
28,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,197.16,7
29,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,1324.8,9
30,Poly String Tie Envelopes,Office Supplies,Envelopes,68.13,11
31,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,496.24,6
32,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,63.62,8
33,Lumber Crayons,Office Supplies,Art,171.39,6
34,Easy-staple paper,Office Supplies,Paper,2414.14,44
35,GE 30524EE4,Technology,Phones,5291.74,9
36,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,2863.8,5
37,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,176.29,2
38,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,7539.71,8
39,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,2908.22,8
40,Plantronics HL10 Handset Lifter,Technology,Phones,2227.01,3
41,Panasonic Kx-TS550,Technology,Phones,846.22,7
42,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,872.26,7
43,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,1051.78,4
44,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,248.29,5
45,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,238.33,12
46,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,953.81,6
47,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,357.0,8
48,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,261.6,8
